idx	true_id	pred_id	true_label	pred_label	text
36	0	1	0	1	pc ownership to  double by 2010  the number of personal computers worldwide is expected to double by 2010 to 1.3 billion machines  according to a report by analysts forrester research.  the growth will be driven by emerging markets such as china  russia and india  the report predicted. more than a third of all new pcs will be in these markets  with china adding 178 million new pcs by 2010  it said. low-priced computers made by local companies are expected to dominate in such territories  forrester said. the report comes less than a week after ibm  a pioneer of the pc business  sold its pc hardware division to china s number one computer maker lenovo.  the $1.75bn (£900m) deal will make the combined operation the third biggest pc vendor in the world.  today s products from western pc vendors won t dominate in those markets in the long term   simon yates  a senior analyst for forrester  said.  instead local pc makers like lenovo group in china and aquarius in russia that can better tailor the pc form factor  price point and applications to their local markets will ultimately win the market share battle   he said. there are currently 575 million pcs in use globally. the united states  europe and asia-pacific are expected to add 150 million new pcs by 2010  according to the study. the report forecast that there will be 80 million new pc users in india by 2010 and 40 million new users in indonesia.
74	3	1	3	1	music mogul fuller sells company pop idol supremo simon fuller has sold his 19 entertainment company to an us entrepreneur in a $156m (£81.5m) deal.  robert sillerman s sports entertainment enterprises  which is to be renamed cfx  recently also bought an 85% share in the estate of elvis presley. mr fuller has been appointed to the cfx board and will plan and implement the company s creative strategy. the 19 firm handles a roster of music artists  tv shows and pr strategies for stars including the beckhams. the deal sees mr fuller receive £64.5m in cash and about 1.9 million shares in sports entertainment. there will also be a further £19.2m in either cash or stocks by the end of the financial year in june. mr fuller has signed a long-term agreement with the company which will see him continue to expand and develop entertainment brands. he said:  this is a hugely exciting new partnership for myself and 19 entertainment.   ckx will provide 19 with a powerful platform for global growth and allow us to fully take advantage of all the amazing opportunities that lie ahead. i cannot wait to get started.   mr fuller was the creative drive behind pop idol and its us offspring american idol. 19 management runs the careers of many of its successful contestants including will young  gareth gates and kelly clarkson. the company was set up 15 years ago by mr fuller  taking the name from his first successful single - 19 by paul hardcastle. fuller was the driving force behind the spice girls phenomenon  using canny marketing and catchy pop songs to secure their place as the most lucrative girl group in history. he then put together s club 7  who had their own tv show as well as a music career. mr sillerman s deal to buy the presley estate sees him control the operation of graceland  as well as money from the late star s music and films. presley s daughter lisa marie retains possession of graceland and many of her father s  personal effects .
109	0	1	0	1	fast lifts rise into record books two high-speed lifts at the world s tallest building have been officially recognised as the planet s fastest.  the lifts take only 30 seconds to whisk passengers to the top of the 508m tall tfc 101 tower in taipei  taiwan. the guinness book of records has declared the 17m per second speed of the two lifts the swiftest on earth. the lifts also have a pressure control system to stop passengers  ears popping as they ascend and descend at high speed.  in total  the tfc tower has 61 lifts  34 of them double-deckers  and 50 escalators to shuttle people around its 106 floors. the tfc 101 tower is due to be officially opened on 31 december.  the super-fast lifts can speed up to 24 passengers to the tip of the tower in about 30 seconds  while ascending their 382m track. the 17m/s top speed of the lifts translates to about 38mph (61km/h). curiously the lifts take longer to descend and spend almost a whole minute returning to ground level from the top of the tfc tower. the key new technologies applied in the world s fastest elevators include:    - a pressure control system  which adjusts the atmospheric pressure inside a car by using suction and discharge blowers  preventing  ear popping    - an active control system which tries to balance the lift more finely and remove the sources of vibrations   - streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft      the certification of our elevators as world record-holders by the authoritative guinness world records is a great honour for us   said masayuki shimono  president of manufacturer toshiba elevator and building systems which installed the lifts. the first record for the world s fastest passenger elevators was published in the first edition of the guinness book of records in 1955.  as such  it is an interesting indicator of how technology has advanced in the 50 years since that first edition  when the record was 426m per minute  or 25.6 km/h  less than half the speed of the new record   said hein le roux  specialist researcher at the guinness world records. taipei s tfc 101 tower is more than 50m taller than the petronas towers in kuala lumpur  malaysia - formerly the world s tallest skyscraper.
119	4	1	4	1	baa support ahead of court battle uk airport operator baa has reiterated its support for the government s aviation expansion plans to airports throughout the country.  the comments come a day ahead of a high court challenge by residents  groups and local councils to the government s white paper. the judicial review will centre on government plans for expansion at heathrow  stansted and luton airports. baa  which operates all three  said it was consulting with local communities.  we are...consulting on voluntary compensation schemes which go beyond our statutory obligations   a baa spokesman said.  groups challenging the plans include stop stansted expansion  heathrow anti-noise campaigners hacan clearskies and the london boroughs of hillingdon and wandsworth. at heathrow  gatwick  edinburgh and glasgow airports  baa launched a series of consultations on blight to properties from the proposed expansion in september 2004  which will close next week. the company is also offering to buy noise-hit properties for an index-linked  unblighted price. among other measures  baa has set up a homeowner support scheme for people living near stansted  and has launched a special scheme for those close to the airport but far enough away not to be covered by the homeowner scheme. at heathrow  baa said it was working closely with all interested parties to see how the strict environmental  air quality and noise targets for a third runway can be met.  at gatwick  the company has written to homes and business likely to be affected by any extra runway. stop stansted expansion said the white paper  published in december 2003  was  fundamentally flawed  and did not follow the proper consultation process.  we do not underestimate the scale of the challenge before us because the courts have never before overturned a government white paper   said stop stansted expansion chairman peter sanders said. hacan chairman john stewart said:  almost exactly a year ago the government published its 30-year aviation white paper with much fanfare.  it hoped that would be the end of the debate and it could proceed with its plans for a massive expansion of aviation.  yet  a year later the protesters are still here  and stronger than ever.   a judgement from mr justice sullivan is expected early in february.
214	1	4	1	4	ban on forced retirement under 65 employers will no longer be able to force workers to retire before 65  unless they can justify it.  the government has announced that firms will be barred from 2006 from imposing arbitrary retirement ages. under new european age discrimination rules  a default retirement age of 65 will be introduced. workers will be permitted to request staying on beyond this compulsory retirement age  although employers will have the right to refuse. trade and industry secretary patricia hewitt said people would not be forced to work longer than they wanted  saying the default age was not a statutory  compulsory retirement age. she said employers would be free to continue employing people for as long as they were competent.  under age discrimination proposals from the department of trade and industry last year workers were to be allowed to work on till 70 if they wished.  business leaders had opposed the plan as they said it would be too costly and cumbersome. the british chambers of commerce welcomed the latest proposal.  this move today is the best of both worlds   it said.  employers have the ability to define the end point of the employer-employee relationship and employees have flexibility with a right to request to work past the age of 65.  but age concern said imposing a retirement age of 65 was  cowardly  and a  complete u-turn .  this makes a mockery of the government s so-called commitment to outlawing ageism  leaving the incoming age discrimination law to unravel   said gordon lishman  director general of age concern england .  it is now inevitable that older people will mount legal challenges to the decision using european law.  the decision will have no impact on the age at which workers can collect their state pension  the government has said.
256	4	1	4	1	eu fraud clampdown urged eu member states are failing to report fraud and irregularities in eu funds on a consistent basis  the uk s public spending watchdog has said.  the national audit office said although the latest figures showed reported fraud was falling  the eu still had no common definition of fraud. it also expressed concern that  for the 10th year  the european court of auditors had qualified the eu accounts. the nao urged the government to push for improvements in reporting fraud. it said member states needed to be more accountable on how money was spent. the report said:  member states still do not report fraud and other irregularities to the european anti-fraud office on a consistent basis.   as the court has now qualified its opinion on the community accounts for a decade  it is essential for all the authorities involved to contribute to the strengthening of the audit of eu revenue and expenditure and improving accountability for the financial management and use of eu resources.  it said there were 922 cases of reported fraud or irregularities in eu funds in the uk in 2003  worth £38.5m (52m euros)  up from 831 cases worth £35.7m in 2002. at the same time  reported fraud throughout the eu dropped from 10 276 cases worth £808m to 8 177 cases worth £644m. edward leigh  chairman of the commons public accounts committee  said britain had to set an example when it assumed the eu presidency.   any fraud in other member states is potentially fraud against the uk taxpayer  given that we are the second largest net contributor to the community   he said.  departments responsible for administering eu funds need to make sure that they re doing everything possible to weed out improper spending.  the government must take the opportunity afforded by the uk presidency of the eu to press the commission and other member states to take an equally robust stance against fraud and irregularity  and raise overall standards of financial management.  a spokesman for the european anti-fraud office said the organisation agreed with the nao s assessment of fraud reporting.  the quality of reporting does differ from member state to member state  and there is room for improvement   spokesman jorg wojahn said. he added that there is generally good co-operation with member states and the anti-fraud office on specific cases of fraud  with the statistics studied by nao providing a  good overview for planning strategic ways of detecting fraud .
265	1	0	1	0	orange colour clash set for court a row over the colour orange could hit the courts after mobile phone giant orange launched action against a new mobile venture from easyjet s founder.  orange said it was starting proceedings against the easymobile service for trademark infringement. easymobile uses easygroup s orange branding. founder stelios haji-ioannou has pledged to contest the action. the move comes after the two sides failed to come to an agreement after six months of talks. orange claims the new low-cost mobile service has infringed its rights regarding the use of the colour orange and could confuse customers - known as  passing off .   our brand  and the rights associated with it are extremely important to us   orange said in a statement.  in the absence of any firm commitment from easy  we have been left with no choice but to start an action for trademark infringement and passing off.  however  mr haji-ioannou  who plans to launch easymobile next month  vowed to fight back  saying:  we have nothing to be afraid of in this court case.  it is our right to use our own corporate colour for which we have become famous during the last 10 years.  the easyjet founder also said he planned to add a disclaimer to the easygroup website to ensure customers are aware the easymobile brand has no connection to orange. the new service is the latest venture from easygroup  which includes a chain of internet cafes  budget car rentals and an intercity bus service. easymobile will allow customers to go online to order sim cards and airtime - which will be rented from t-mobile - for their existing handsets.
267	3	0	3	0	new media battle for bafta awards the bbc leads the nominations for the bafta interactive awards  including one for the radio times website and one for sport interactive s euro 2004 coverage.  the awards  which were started in 1997  recognise the best websites  digital tv shows and cd roms. other nominees include the guardian news website  the national theatre  mtv  the science museum and the london stock exchange. the winners from 12 different categories are crowned on 2 march 2005. there were nearly 400 entries this year - a third more than last year. the bbc has 16 nominations while the guardian has three nominations.   this year s nominees are a testament to the creative and innovative work going on within the industry   said grant dean  chair of the interactive committee. categories include interactive tv  film  digital tv  mobile phones and music. shaun of the dead  oasis  definitely maybe  really bend it like beckham  the chaplin collection and the day today will battle it out in the dvd category.  itv s great british spelling test takes on the bbc s olympics and spooks interactive for the interactive tv award. and the guardian takes three of a possible five nominations in the news and sport category for its website coverage of euro 2004  the tour de france and the us elections. the bbc s ican site is up for the technical and social innovation award alongside the likes of nottingham university s uncle roy all around you. in 2002  the british academy of film and television decided to split the awards into separate games and interactive ceremonies  to fully cover the range of innovation outside the gaming industry.
329	0	2	0	2	piero gives rugby perspective bbc sport unveils its new analysis tool piero at the wales v england rugby union match on saturday. but what does it do and how does it work   picture the scene - wales are camped on the england line in the dying seconds of the six nations  opening match. a ball is flung out to winger shane williams who crosses to score the winning try for wales. but the england players are incensed - arguing that the pass was forward and the try should not stand. in the past  sports fans would be left debating the validity of the try for days and weeks to come. but bbc sport s new tool piero could end discussions in minutes.  piero  named after the italian painter and pioneer of perspective piero della francesco  creates a virtual stadium in which virtual players can be tracked from almost any angle. viewers will be able to see precisely how the ball was thrown and by whom  giving a greater depth to the growing wealth of analysis available during sports broadcasts. the technology has been created by bbc research and development for bbc broadcast and bbc outside broadcasts. bbc sport is the first client to start using the system.  in order to keep audiences growing and growing... we need to work closely with people who create technology and innovation to bring sport to life   said andrew thompson  the bbc s head of development  new media and sports news.  we want to appeal to core fans - to give them more analysis  more detail  more definitive answers about key passages of play.  piero works by taking telemetric data from fixed camera positions and sending that data inside the video signal to a pc which can then render the information into 3d graphics.  the more cameras using piero  the better the detail possible out the other end when the data is turned into 3d models.  it allows us to tell the story of a passage of play  tracking individual players across the field  looking at tactics   said andy townsend  from bbc broadcast.  an operator can manipulate the information and provide almost real-time replays of incidents  as well as more in-depth analysis. the  virtual camera  can focus on virtually any aspect of the pitch  giving viewers an insight into action that the camera normally cannot see. piero also provides a wealth of statistical detail - from the length of kicks  to the length of a run of an individual player and the height of a lift at any lineout. mr townsend said sports performance companies were already showing an interest in the technology. bbc broadcast hopes the technology can be sold to third parties interested in using it a number of different ways - from sport broadcasting to entertainment and game shows.
335	3	0	3	0	pupils to get anti-piracy lessons lessons on music piracy and copyright issues are to be taught to secondary school pupils in the uk.  the lessons  aimed at 11 to 14-year-olds  will introduce them to copyright - including the issues of downloading from the internet and the illegal copying of cds - and its role in protecting creativity.  music piracy  including illegally swapping music online  costs the uk music industry millions every year and has been blamed for a decline in world-wide cd sales. british music rights (bmr) - which was formed to represent the interests of songwriters and composers - worked with education experts to put together a learning pack.  songwriter guy chambers  who has worked with stars including robbie williams  has thrown his support behind the scheme. he said as well as educating children about music piracy  it would also protect young people planning a career in the music industry from  unscrupulous  individuals. at a debate in london to launch the scheme  chambers said:  i think it is important that young people receive practical and engaging learning in schools.  these lessons will give them an insight into how the creative industries work which will help them in possible future careers.  the education pack  which has already been requested by more than 1 600 secondary schools  is aimed at giving children an understanding of copyright in relation to the music industry. it will also teach children about the importance of royalties and raises awareness of different careers in the music industry  particularly in the digital age.  henri yoxall  general manager of british music rights  told bbc news schools had been crying out for a resource to help them educate pupils about the issues. the scheme - which is an extension of bmr s respect the value of music campaign - is also being backed by singer-songwriters feargal sharkey  lucie silvas and grammy award-winning composer david arnold. silvas said:  i think it is so important that students gain an understanding of how the music industry works when they are at a young age.  i wish i had been given an opportunity like this when i was at school.  emma pike  director general of british music rights  said:  we believe that copyright is an essential part of teaching music in schools. it is vital that the creatives of the future know how to turn their ideas into value.  copyright education has always been important... creatives are facing more challenges and more opportunities from technological change.  technology is allowing people to create music and distribute their music to the public in a whole host of new ways.
368	4	1	4	1	hatfield executives go on trial engineering firm balfour beatty and five railway managers are to go on trial for manslaughter over the hatfield rail crash in 2000.  four people died when a section of rail broke and a high speed train derailed. balfour beatty s railway maintenance arm was in charge of the upkeep of the line at hatfield  hertfordshire. balfour beatty managers anthony walker and nicholas jeffries  and railtrack managers alistair cook  sean fugill and keith lea all face individual charges. all five men  along with four others  are also accused of breaches of health and safety laws. balfour beatty rail maintenance faces a corporate manslaughter charge. it is expected the trial could last as long as a year. the accident  on 17 october 2000  happened when the london to leeds express came off the tracks at 115 mph  when it was derailed by a cracked section of rail. the accident on the east coast main line sparked major disruption. the overall responsibility for the line was railtrack s - the company that has now become network rail. those who died in the accident were steve arthur  46  from pease pottage  west sussex; peter monkhouse  50  of headingley  leeds; leslie gray  43  of tuxford  nottingham; and robert james alcorn  37  of auckland  new zealand.
404	1	0	1	0	news corp eyes video games market news corp  the media company controlled by australian billionaire rupert murdoch  is eyeing a move into the video games market.  according to the financial times  chief operating officer peter chernin said that news corp is  kicking the tyres of pretty much all video games companies . santa monica-based activison is said to be one firm on its takeover list. video games are  big business   the paper quoted mr chernin as saying. we  would like to get into it .  the success of products such as sony s playstation  microsoft s x-box and nintendo s game cube have boosted demand for video games. the days of arcade classics such as space invaders  pac-man and donkey kong are long gone. today  games often have budgets big enough for feature films and look to give gamers as real an experience as possible. and with their price tags reflecting the heavy investment by development companies  video games are proving almost as profitable as they are fun.  mr chernin  however  told the ft that news corp was finding it difficult to identify a suitable target.  we are struggling with the gap between companies like electronic arts (ea)  which comes with a high price tag  and the next tier of companies   he explained during a conference in phoenix  arizona.  these may be too focused on one or two product lines.  activision has a stock market capitalisation of about $2.95bn (£1.57bn)  compared to ea s $17.8bn. some of the games industry s main players have recently been looking to consolidate their position by making acquisitions. france s ubisoft  one of europe s biggest video game publishers  has been trying to remain independent since electronic arts announced plans to buy 19.9% of the firm. analysts have said that industry mergers are likely in the future.
409	3	4	3	4	bbc  should allow more scrutiny  mps have urged the bbc to give watchdogs more freedom to scrutinise how £2bn in licence fee money is spent.  the public accounts committee called for the national audit office to be given a  free hand  to investigate how the bbc offers value for money. although six areas are to be opened up to scrutiny the audit office should have more power to choose what it investigated  the mps said. the call was made in a report into the bbc s freeview digital service.  our aim is not to rewrite the storyline of eastenders but simply to ensure that the bbc is as accountable to parliament as any other organisation spending public money   said the committee chairman  mp edward leigh.  the bbc s spending is not subject to the full independent scrutiny  and accountability to parliament.  parliament requires television owners to pay a licence fee and expects the comptroller and auditor general  on behalf of parliament  to be able to scrutinise how that money  over £2 billion a year  is used.   a bbc spokeswoman said:  we share the committee s interest in ensuring the public money we receive is spent well. though in its infancy  we think the arrangements with the nao are working well and should be given time to mature.  the report said the freeview digital service has had an  impressive  take up since its launch but the bbc must still dispel confusion about the service. the committee found the bbc had succeeded in ensuring subscription-free access to digital channels following the collapse of itv digital in 2002. but the fact that one in four homes could not access freeview remained a problem.  the report said that while gaps in the coverage were largely due to landscape issues  there was need for detailed explanations on the freeview website and on promotional literature as to why it was not available in specific areas. the government has proposed switch off of the analogue television signal  with 2012 the most recently proposed date. the bbc launched freeview in 2002 as an alternative to satellite subscription services such as sky  to allow its digital channels such as bbc three and news 24 to be seen. there have been an estimated five million freeview set-top boxes sold since the launch and prices have fallen considerably. the corporation plans to spend up to £138m on freeview before 2014 to ensure people can receive the service throughout the uk  and are aware of it.
